Id,Id [Coordinate system],Name [Coordinate system],Created at [Coordinate system],Updated at [Coordinate system],Client [Coordinate system],Info page url [Coordinate system],Tourist map [Coordinate system],Id [Scene],Name [Scene],Created at [Scene],Updated at [Scene],Thumbnail [Scene],Sort number [Scene],Activity [Scene],Game reset [Scene],Visibility [Scene],Actions [Scene],Credentials [Scene],Sc enabled [Scene],Room name [Scene],Game [Scene]
555,196,雲端AI新視界,2022年11月24日 08:54,2022年11月24日 08:54,1, - ,<空>,2345,元宇宙 in 信義區,2022年11月09日 20:54,2022年12月22日 14:48,https://api.lig.com.tw/ar_asset/nnoylz6tcwiouo8g37mnv2kxpn1s.jpg,0, - ,False,2, - , - ,False, - , - 
556,196,雲端AI新視界,2022年11月24日 08:54,2022年11月24日 08:54,1, - ,<空>,2390,ACER,2022年11月29日 15:52,2022年11月29日 15:52, - ,0, - ,False,1, - , - ,False, - , - 
576,100,Eliot Test Coordinate Sys.,2022年01月27日 17:37,2022年01月27日 17:37,1, - ,<空>,2134,霹靂宇宙F.A.I.T.H in KH,2022年09月13日 17:30,2022年09月15日 21:10, - ,0, - ,False,1, - , - ,False, - , - 
584,100,Eliot Test Coordinate Sys.,2022年01月27日 17:37,2022年01月27日 17:37,1, - ,<空>,2016,RC_誠品站前店_聖誕節🎄,2022年07月01日 10:30,2022年11月21日 15:33,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1, - ,False,1, - , - ,False, - , - 
585,100,Eliot Test Coordinate Sys.,2022年01月27日 17:37,2022年01月27日 17:37,1, - ,<空>,2232,誠品站前店_萬聖節,2022年10月07日 10:35,2022年11月29日 17:32, - ,1, - ,False,1, - , - ,False, - , - 
609,198,鴻圖開發部門,2022年11月30日 11:35,2022年12月06日 10:49,26, - ,<空>,2412,元宇宙 in 市政府 (鴻圖),2022年12月06日 10:10,2022年12月06日 12:39,https://api.lig.com.tw/ar_asset/hocptv7t06r504pbio4iftykfz25.jpg,0, - ,False,2, - , - ,False, - , - 
659,192,Meet Taipei - 光時代,2022年11月16日 13:24,2022年11月16日 13:24,1, - ,<空>,2445,yuli我的場景,2022年12月13日 16:19,2022年12月13日 16:26, - ,0, - ,False,1, - , - ,False, - , - 
660,192,Meet Taipei - 光時代,2022年11月16日 13:24,2022年11月16日 13:24,1, - ,<空>,2435,外婆生日,2022年12月10日 05:20,2022年12月10日 05:20, - ,0, - ,False,1, - , - ,False, - , - 
667,203,acer-11F,2022年12月14日 14:53,2022年12月14日 14:53,45, - ,<空>,2446,11F,2022年12月14日 11:52,2022年12月14日 11:52, - ,0, - ,False,1, - , - ,False, - , - 
674,123,成都楊桃冰,2022年05月05日 14:49,2022年05月05日 14:49,1, - ,<空>,2438,julia_西門六號出口_火星貓_王領英雄,2022年12月13日 14:10,2023年11月22日 18:14,https://api.lig.com.tw/ar_asset/p39nq0jgji6pgw9jx10a0r76s25u.jpg,0, - ,False,1, - , - ,False, - , - 
693,208,eliot coordinate sys. lightid=5520,2022年12月18日 16:50,2023年10月25日 14:07,1, - ,<空>,78,力暘花蓮辦公室,2021年01月18日 13:21,2021年09月10日 08:15, - ,0, - ,False,1, - , - ,False, - , - 
694,209,DEMO,2022年12月19日 10:44,2022年12月19日 10:44,48, - ,<空>,2451,default scene,2022年12月15日 09:55,2022年12月15日 09:55, - ,0, - ,False,1, - , - ,False, - , - 
726,211,demo002,2022年12月21日 08:59,2022年12月21日 08:59,48, - ,<空>,2467,demo002,2022年12月21日 08:51,2022年12月21日 08:51, - ,0, - ,False,1, - , - ,False, - , - 
729,212,創業者年會,2022年12月22日 09:01,2022年12月22日 09:01,1, - ,<空>,2468,創業者年會,2022年12月21日 09:44,2023年01月09日 19:18,https://api.lig.com.tw/ar_asset/oathr1lqe6etbyty67x5xecb6231.jpeg,0, - ,False,2, - , - ,False, - , - 
733,213,台北通開發人員,2022年12月22日 14:07,2022年12月22日 14:07,1, - ,<空>,2009,元宇宙 in 市政府,2022年06月24日 11:15,2022年12月27日 09:01,https://api.lig.com.tw/ar_asset/hocptv7t06r504pbio4iftykfz25.jpg,0, - ,False,2, - , - ,False, - , - 
736,214,耶誕嘉年華主舞台,2022年12月22日 17:59,2022年12月22日 18:11,1, - ,<空>,2461,空總耶誕嘉年華-peter,2022年12月19日 16:11,2022年12月19日 16:13, - ,0, - ,False,1, - , - ,False, - , - 
740,215,耶誕嘉年華元宇宙,2022年12月22日 18:11,2022年12月22日 18:11,1, - ,<空>,2103,空總耶誕嘉年華,2022年09月01日 14:15,2022年12月14日 16:27, - ,0, - ,False,1, - , - ,False, - , - 
811,212,創業者年會,2022年12月22日 09:01,2022年12月22日 09:01,1, - ,<空>,1511,亞灣新創園,2021年09月30日 17:39,2024年03月26日 15:51,https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,0, - ,False,1, - , - ,False, - , - 
812,212,創業者年會,2022年12月22日 09:01,2022年12月22日 09:01,1, - ,<空>,1189,HoloParkScene,2021年08月14日 14:04,2022年12月05日 16:29,https://api.lig.com.tw/ar_asset/yjzn6q8n1if1hw8bpmbaojtcdehw.png,0, - ,False,1, - , - ,False, - , - 
813,212,創業者年會,2022年12月22日 09:01,2022年12月22日 09:01,1, - ,<空>,2301,夢想遊樂園,2022年11月02日 11:09,2023年11月16日 07:17, - ,0, - ,False,1, - , - ,False, - , - 
814,212,創業者年會,2022年12月22日 09:01,2022年12月22日 09:01,1, - ,<空>,2374,高雄市經發局,2022年11月23日 09:05,2023年12月29日 09:32,https://api.lig.com.tw/ar_asset/2nc7k3w6b96d44ml6kykoz6rszw0.jpeg,0, - ,False,1, - , - ,False, - , - 
874,183,蝦米測試81,2022年10月17日 15:26,2022年10月20日 10:53,1, - ,<空>,2538,夢想遊樂園,2023年01月13日 11:48,2023年01月13日 11:48, - ,0, - ,False,1, - , - ,False, - , - 
879,218,23科技燈區,2023年01月06日 12:42,2023年01月06日 12:42,1, - ,<空>,2541,RC_23科技燈區_0113_上架用_忽略可視距離_精靈已換好_參差版,2023年01月16日 13:37,2023年01月16日 16:30, - ,0, - ,False,2, - , - ,False, - , - 
883,224,acer展廳,2023年01月19日 10:24,2023年01月19日 10:24,1, - ,<空>,2502,acer 新年,2023年01月04日 16:34,2023年02月04日 15:19, - ,0, - ,False,1, - , - ,False, - , - 
899,221,運營_燈會test,2023年01月10日 11:28,2023年02月10日 14:31,1, - ,<空>,2541,RC_23科技燈區_0113_上架用_忽略可視距離_精靈已換好_參差版,2023年01月16日 13:37,2023年01月16日 16:30, - ,0, - ,False,2, - , - ,False, - , - 
923,239,互動地圖DEMO,2023年02月22日 07:35,2023年02月22日 07:35,1, - ,<空>,2585,互動地圖demo,2023年02月22日 00:18,2023年02月22日 07:07, - ,0, - ,False,1, - , - ,False, - , - 
925,239,互動地圖DEMO,2023年02月22日 07:35,2023年02月22日 07:35,1, - ,<空>,2587,RC_Demo_6號隧道,2023年02月22日 13:01,2023年07月14日 10:43, - ,0, - ,False,1, - , - ,False, - , - 
926,239,互動地圖DEMO,2023年02月22日 07:35,2023年02月22日 07:35,1, - ,<空>,2588,RC_Demo_勝興車站,2023年02月22日 13:06,2023年07月14日 10:43, - ,0, - ,False,1, - , - ,False, - , - 
928,239,互動地圖DEMO,2023年02月22日 07:35,2023年02月22日 07:35,1, - ,<空>,2561,RC_Demo_龍騰斷橋,2023年02月13日 17:23,2023年07月14日 10:43, - ,0, - ,False,1, - , - ,False, - , - 
931,238,101,2023年02月18日 11:48,2023年02月18日 11:48,1, - ,<空>,2009,元宇宙 in 市政府,2022年06月24日 11:15,2022年12月27日 09:01,https://api.lig.com.tw/ar_asset/hocptv7t06r504pbio4iftykfz25.jpg,0, - ,False,2, - , - ,False, - , - 
947,219,mike測試,2023年01月09日 15:01,2023年03月08日 11:31,1, - ,<空>,2301,夢想遊樂園,2022年11月02日 11:09,2023年11月16日 07:17, - ,0, - ,False,1, - , - ,False, - , - 
948,219,mike測試,2023年01月09日 15:01,2023年03月08日 11:31,1, - ,<空>,2537,元宵燈節第一區,2023年01月13日 09:18,2023年01月16日 11:25, - ,0, - ,False,1, - , - ,False, - , - 
949,219,mike測試,2023年01月09日 15:01,2023年03月08日 11:31,1, - ,<空>,2568,第五區ATT,2023年02月16日 14:50,2023年02月16日 14:50, - ,0, - ,False,1, - , - ,False, - , - 
950,219,mike測試,2023年01月09日 15:01,2023年03月08日 11:31,1, - ,<空>,2582,第六區101,2023年02月21日 13:34,2023年02月21日 13:34, - ,0, - ,False,1, - , - ,False, - , - 
965,234,茂林新威遊客中心2F,2023年02月17日 13:31,2023年04月25日 13:22,1,https://cloud.lig.com.tw/messages/12,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbk0wIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2892e6ced1bb06a97905587a0365c6b2fc3d57a3/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2576,新威旅客中心-2F,2023年02月20日 15:13,2023年03月13日 09:14, - ,0, - ,False,1, - , - ,False, - , - 
966,233,新威遊客中心1F,2023年02月17日 12:48,2023年04月25日 13:22,1,https://cloud.lig.com.tw/messages/1,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBblEwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0d8fbfef14348c55e263a194c5808f152646ec06/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-03.png,2575,新威旅客中心-1F,2023年02月20日 15:12,2023年12月21日 09:52, - ,0, - ,False,1, - , - ,False, - , - 
968,232,茂林新威遊客中心,2023年02月17日 12:22,2023年04月25日 13:22,1,https://cloud.lig.com.tw/messages/13,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBblUwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--57da455f5c444e00344c15924d51614051b4e025/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-04.png,2574,新威旅客中心,2023年02月20日 15:08,2024年04月10日 10:44, - ,0, - ,False,1, - , - ,False, - , - 
974,235,禮納里遊客服務中心,2023年02月17日 15:20,2023年04月25日 13:21,1,https://cloud.lig.com.tw/messages/15,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbkkwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c0a0179474d79be8aa7e0d2d607bfe4ded70d417/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-05.png,2577,禮納里旅客服務中心-室外,2023年02月20日 15:51,2023年03月14日 13:56, - ,0, - ,True,1, - , - ,False, - , - 
975,236,禮納里遊客服務中心-1F,2023年02月17日 16:14,2023年04月25日 13:21,1,https://cloud.lig.com.tw/messages/14,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbkUwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e5fc9bd927820428d609edefa8402aa0cf523ac6/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-01.png,2578,禮納里旅客服務中心-室內,2023年02月20日 16:33,2023年03月14日 10:18, - ,0, - ,False,1, - , - ,False, - , - 
987,231,julia_Demo_Hank 辦公室,2023年02月14日 16:02,2023年02月14日 16:02,1, - ,<空>,1914,臺北市政府大廳AR導覽,2022年03月28日 17:35,2023年05月16日 09:44,https://api.lig.com.tw/ar_asset/ftsp9q11qkfck0kwt591l2p2pphx.jpg,0, - ,False,1, - , - ,False, - , - 
988,231,julia_Demo_Hank 辦公室,2023年02月14日 16:02,2023年02月14日 16:02,1, - ,<空>,1862,海底世界-複製確認,2022年02月21日 16:07,2024年03月06日 11:25,https://api.lig.com.tw/ar_asset/ftsp9q11qkfck0kwt591l2p2pphx.jpg,3,24,False,1, - , - ,False, - , - 
989,231,julia_Demo_Hank 辦公室,2023年02月14日 16:02,2023年02月14日 16:02,1, - ,<空>,1511,亞灣新創園,2021年09月30日 17:39,2024年03月26日 15:51,https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,0, - ,False,1, - , - ,False, - , - 
990,231,julia_Demo_Hank 辦公室,2023年02月14日 16:02,2023年02月14日 16:02,1, - ,<空>,2374,高雄市經發局,2022年11月23日 09:05,2023年12月29日 09:32,https://api.lig.com.tw/ar_asset/2nc7k3w6b96d44ml6kykoz6rszw0.jpeg,0, - ,False,1, - , - ,False, - , - 
992,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2625,智慧城市展_showroom,2023年03月17日 11:38,2023年04月19日 17:05, - ,0, - ,False,1, - , - ,False, - , - 
1006,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2630,打殭屍測試,2023年03月24日 16:14,2023年03月24日 16:14, - ,0, - ,False,1, - , - ,False, - , - 
1015,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2634,燈籠解謎測試,2023年03月25日 13:58,2023年03月27日 15:39, - ,0, - ,False,1, - , - ,False, - , - 
1016,242,智慧城市展,2023年03月28日 14:47,2023年03月28日 14:47,1, - ,<空>,2625,智慧城市展_showroom,2023年03月17日 11:38,2023年04月19日 17:05, - ,0, - ,False,1, - , - ,False, - , - 
1025,243,智慧城市展-高雄場,2023年03月29日 15:01,2023年03月29日 15:01,1, - ,<空>,2647,智慧城市高雄展,2023年03月29日 07:12,2024年04月22日 11:49,https://api.lig.com.tw/ar_asset/bsot9eg1qxe5e862a2l2dtdxdt67.jpg,0, - ,False,1, - , - ,False, - , - 
1082,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2657,oooo,2023年04月11日 10:30,2023年04月11日 10:30, - ,0, - ,False,1, - , - ,False, - , - 
1092,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2659,player sdk test game,2023年04月12日 11:09,2023年04月12日 11:09, - ,0, - ,False,1, - , - ,False, - , - 
1108,249,茂林新威旅客中心-咖啡廳,2023年04月17日 17:49,2023年04月17日 17:49,1, - ,<空>,2669,茂林新威旅客中心-咖啡廳,2023年04月17日 17:49,2024年04月08日 11:59, - ,11, - ,False,1, - , - ,False, - , - 
1110,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2671,steven會議室Demo,2023年04月17日 17:50,2023年04月17日 18:11, - ,0, - ,False,1, - , - ,False, - , - 
1118,141,Julia小貓_946座標系_old,2022年07月21日 15:42,2023年06月15日 19:39,1, - ,<空>,2675,Julia_Demo_Ad,2023年04月18日 15:07,2023年04月21日 15:28, - ,0, - ,False,1, - , - ,False, - , - 
1121,141,Julia小貓_946座標系_old,2022年07月21日 15:42,2023年06月15日 19:39,1, - ,<空>,2151,Julia_Demo_誠品站前店_聖誕節🎄,2022年09月16日 17:04,2022年10月17日 16:17,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,2,10,False,1, - , - ,False, - , - 
1129,141,Julia小貓_946座標系_old,2022年07月21日 15:42,2023年06月15日 19:39,1, - ,<空>,2681,julia_Demo_百威生醫,2023年04月19日 17:40,2023年04月19日 17:40, - ,0, - ,False,1, - , - ,False, - , - 
1137,245,茂林新威旅客中心,2023年03月31日 16:28,2023年04月24日 06:10,52, - ,<空>,2687,新威旅客中心-[練習區],2023年04月22日 13:00,2023年04月24日 10:42, - ,0, - ,False,1, - , - ,False, - , - 
1191,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2647,智慧城市高雄展,2023年03月29日 07:12,2024年04月22日 11:49,https://api.lig.com.tw/ar_asset/bsot9eg1qxe5e862a2l2dtdxdt67.jpg,0, - ,False,1, - , - ,False, - , - 
1199,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2729,demo場景,2023年05月10日 17:08,2023年05月10日 17:08, - ,0, - ,False,1, - , - ,False, - , - 
1200,152,碁康,2022年09月15日 16:25,2023年05月12日 09:27,1, - ,<空>,2716,高工局Demo,2023年05月05日 14:31,2023年05月05日 14:31, - ,0, - ,False,1, - , - ,False, - , - 
1212,178,0-601hk4g4,2022年10月05日 16:56,2023年05月16日 17:13,1, - ,<空>,2737,資訊球、點餐、Logo、吉祥物,2023年05月16日 16:15,2023年05月16日 17:12, - ,0, - ,False,1, - , - ,False, - , - 
1225,138,和全豐開發環境,2022年07月15日 18:22,2023年05月19日 20:15,1, - ,<空>,2743,誠品站前店_萬聖節-和全豐,2023年05月19日 20:19,2023年05月19日 20:20, - ,1, - ,False,1, - , - ,False, - , - 
1236,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2748,銘傳AR海底遊樂園1F,2023年05月24日 17:22,2023年05月25日 10:48,https://api.lig.com.tw/ar_asset/bevgdlk87pkon4tb23rg25papknp.jpg,0, - ,False,1, - , - ,False, - , - 
1237,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2749,銘傳AR海底遊樂園4F,2023年05月25日 10:56,2023年05月25日 10:56,https://api.lig.com.tw/ar_asset/bevgdlk87pkon4tb23rg25papknp.jpg,0, - ,False,1, - , - ,False, - , - 
1250,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2393,RC_Test_動畫特效,2022年11月30日 14:50,2022年11月30日 14:50, - ,0, - ,False,1, - , - ,False, - , - 
1287,257,信義第一區第二關,2023年05月30日 10:31,2023年06月09日 13:31,1,https://cloud.lig.com.tw/messages/23,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0EzIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f9259d6ee16394afcb7400112cb38c21232b73de/%E5%AF%B6%E8%97%8F%E5%9C%96%E9%97%9C%E5%8D%A1%E4%BA%8C.png,2752,粽邪第二關解謎,2023年05月29日 13:34,2023年08月01日 09:32, - ,0, - ,False,1, - , - ,False, - , - 
1288,259,信義第一區第三關,2023年06月02日 10:10,2023年06月09日 13:31,1,https://cloud.lig.com.tw/messages/23,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0UzIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--24d90b813aa60414a8cdfcd73ba86ef29efd507f/%E5%AF%B6%E8%97%8F%E5%9C%96%E9%97%9C%E5%8D%A1%E4%B8%89%20.png,2759,粽邪第三關解謎,2023年05月31日 15:11,2023年08月01日 09:32, - ,0, - ,False,1, - , - ,False, - , - 
1305,178,0-601hk4g4,2022年10月05日 16:56,2023年05月16日 17:13,1, - ,<空>,2735,360任意門,2023年05月16日 11:40,2023年05月16日 17:12, - ,0, - ,False,1, - , - ,False, - , - 
1307,105,皇穹陵-星光大道,2022年02月21日 14:43,2024年03月06日 17:24,1, - ,<空>,2789,皇穹陵_豬哥亮,2023年06月15日 14:14,2023年06月27日 15:49,https://api.lig.com.tw/ar_asset/9x4ep2rv0hgf9nu5pdhoow3oecvq.png,4, - ,False,1, - , - ,False, - , - 
1330,59,Hank 辦公室 538,2021年10月15日 14:59,2023年04月18日 16:42,1, - ,<空>,2741,粽邪第一關解謎,2023年05月18日 14:14,2023年08月01日 09:32, - ,0, - ,False,1, - , - ,False, - , - 
1332,255,粽邪7樓快問快答第一組,2023年05月24日 14:38,2023年06月26日 19:55,1, - ,<空>,2708,粽邪7樓快問快答第一組,2023年04月25日 10:18,2023年06月13日 09:59, - ,0, - ,False,1, - , - ,False, - , - 
1333,264,粽邪快問快答,2023年06月26日 14:02,2023年06月26日 14:02,1, - ,<空>,2802,粽邪7樓快問快答第二組,2023年06月26日 13:58,2023年06月28日 20:44, - ,0, - ,False,1, - , - ,False, - , - 
1363,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2807,粽邪第五關解謎,2023年06月29日 09:55,2023年07月12日 11:54, - ,100, - ,False,1, - , - ,False, - , - 
1373,222,信義第二區第一關,2023年01月17日 10:20,2023年07月07日 11:40,1,https://cloud.lig.com.tw/messages/26,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcGczIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f591e059129c64992a2b7567e53b808840a8d852/%E7%AC%AC%E4%BA%8C%E5%8D%80%E7%AC%AC%E5%9B%9B%E9%97%9C%E7%BE%8E%E8%A1%93_%E7%AC%AC%E5%9B%9B%E9%97%9C%E5%AF%B6%E8%97%8F%E5%9C%B0%E5%9C%96.png,2738,粽邪第四關解謎,2023年05月17日 14:56,2023年07月10日 08:59, - ,0, - ,False,1, - , - ,False, - , - 
1402,265,和正豐回收機,2023年07月14日 09:51,2023年07月14日 09:51,1, - ,<空>,2820,新竹回收機,2023年07月11日 18:11,2023年07月11日 18:11, - ,0, - ,False,1, - , - ,False, - , - 
1453,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2834,大稻埕(niho)紅包雨-1個,2023年07月24日 11:23,2023年07月24日 11:23, - ,0, - ,False,1, - , - ,False, - , - 
1477,237,att4fun,2023年02月18日 09:12,2023年02月18日 09:12,1, - ,<空>,2842,數字解謎-att,2023年07月27日 11:34,2023年07月27日 11:35, - ,0, - ,False,1, - , - ,False, - , - 
1484,223,信義第四區第一關,2023年01月17日 14:54,2023年06月09日 15:45,1, - ,<空>,2843,拼圖-複製,2023年07月27日 14:39,2023年07月27日 14:40, - ,0, - ,False,1, - , - ,False, - , - 
1513,190,信義第三區,2022年11月09日 17:04,2023年07月28日 12:15,1, - ,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUU3IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c7997304e423c363f89224d0a65f4b843f9d1bd5/%E9%97%9C%E5%8D%A1%E5%85%AD%E5%9C%B0%E5%9C%96.png,2819,粽邪第六關解謎,2023年07月10日 15:23,2023年08月01日 09:31, - ,0, - ,False,1, - , - ,False, - , - 
1515,32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,2838,大稻埕-貨櫃碼頭,2023年07月25日 15:08,2024年03月19日 09:13,https://assets.lig.com.tw/ar_asset/nor4ah40ksojojj5glgbc3c0nqd9.png,0, - ,True,1, - , - ,False, - , - 
